source_id,course,title,original_path,format,document_role,year,output_md,locator_type,method,ocr_used,ocr_confidence,ocr_warning,status,reviewer,notes
probability-theory-010,probability_theory,2020—2021学年第二学期《概率论与数理统计》A卷答案,学科资料/概率论/往年卷/【包打听分享】2021概率统计试卷A-答案19.docx,docx,past_exam_answer,2021,probability/probability-theory-010.md,heading,local OOXML extraction + omml2latex; MathType OLE kept as PNG preview fallback (LaTeX replacement pending human review),false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 97 formula assets replaced with LaTeX; 18 unsupported or damaged formula images retained; image identity strip removed; plugin text gaps retained without guessing; formula review passed; REDO reason: prior passed version replaced only 97 of 243 formula objects with LaTeX, leaving ~128 formula contents missing (plugin text gaps); full regeneration preserves all formulas as reviewable images; 104 OLE formula objects preserved as preview images, 139 native OMML converted to LaTeX; AI-transcribed 1 formula images to LaTeX; needs human re-check per SOP 4.2; REDO reason: restore after finalize smoke test (test placeholder reverted); 104 OLE formula objects preserved as preview images, 139 native OMML converted to LaTeX; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2; AI-transcribed 2 formula images to LaTeX (GLM-4V majority-vote + render gate); pending human re-check per SOP 4.2"
engineering-mathematical-analysis-1-002,engineering_math_analysis_1,工数1~3章知识点及对应真题,学科资料/工科数学分析I/工数学长备考圣遗物/工数1~3章知识点及对应真题(1).pptx,pptx,note,,engineering_math_analysis_1/engineering-mathematical-analysis-1-002.md,slide,python-pptx slide extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-1-003,engineering_math_analysis_1,工数上期末,学科资料/工科数学分析I/工数学长备考圣遗物/工数上期末.pptx,pptx,past_exam,,engineering_math_analysis_1/engineering-mathematical-analysis-1-003.md,slide,python-pptx slide extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-1-004,engineering_math_analysis_1,25-26B,学科资料/工科数学分析I/历年试卷/25-26B.pdf,pdf,past_exam,,engineering_math_analysis_1/engineering-mathematical-analysis-1-004.md,page,pymupdf page rendering to JPEG assets; no OCR performed,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. image-only PDF preserved as page images"
engineering-mathematical-analysis-1-005,engineering_math_analysis_1,2023-2024-1工科数学分析B答案,学科资料/工科数学分析I/历年试卷/23A，23B及答案/2023-2024-1工科数学分析B答案(1).pdf,pdf,past_exam_answer,2023,engineering_math_analysis_1/engineering-mathematical-analysis-1-005.md,page,"pymupdf page rendering to JPEG assets; corrupted text layer detected, no OCR performed",false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review; source PDF text layer is corrupted (mojibake), converted as page images; OCR/transcription pending human decision"
engineering-mathematical-analysis-1-006,engineering_math_analysis_1,2023级工科数学分析（一） 期末考试题(A卷),学科资料/工科数学分析I/历年试卷/23A，23B及答案/2023级工科数学分析（一）   期末考试题(A卷).pdf,pdf,past_exam,2023,engineering_math_analysis_1/engineering-mathematical-analysis-1-006.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:          学号   学院          "
engineering-mathematical-analysis-1-007,engineering_math_analysis_1,2023级工科数学分析（一） 期末考试题(B卷),学科资料/工科数学分析I/历年试卷/23A，23B及答案/2023级工科数学分析（一）   期末考试题(B卷).pdf,pdf,past_exam,2023,engineering_math_analysis_1/engineering-mathematical-analysis-1-007.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:          学号   学院          "
engineering-mathematical-analysis-1-008,engineering_math_analysis_1,2016级软件工科数学分析上 期末考试题(A卷),学科资料/工科数学分析I/历年试卷/13-19/2016级软件工科数学分析上 期末考试题(A卷).pdf,pdf,past_exam,2016,engineering_math_analysis_1/engineering-mathematical-analysis-1-008.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-009,engineering_math_analysis_1,2016级软件工科数学分析上 期末考试题(B卷),学科资料/工科数学分析I/历年试卷/13-19/2016级软件工科数学分析上 期末考试题(B卷).pdf,pdf,past_exam,2016,engineering_math_analysis_1/engineering-mathematical-analysis-1-009.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation"
engineering-mathematical-analysis-1-010,engineering_math_analysis_1,2017软件工科数学分析上A卷,学科资料/工科数学分析I/历年试卷/13-19/2017软件工科数学分析上A卷.pdf,pdf,past_exam,2017,engineering_math_analysis_1/engineering-mathematical-analysis-1-010.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 4 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-011,engineering_math_analysis_1,2017软件工科数学分析上A卷及答案,学科资料/工科数学分析I/历年试卷/13-19/2017软件工科数学分析上A卷及答案.pdf,pdf,past_exam_answer,2017,engineering_math_analysis_1/engineering-mathematical-analysis-1-011.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-012,engineering_math_analysis_1,2017软件工科数学分析上B卷,学科资料/工科数学分析I/历年试卷/13-19/2017软件工科数学分析上B卷.pdf,pdf,past_exam,2017,engineering_math_analysis_1/engineering-mathematical-analysis-1-012.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 4 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-013,engineering_math_analysis_1,2017软件工科数学分析上B卷及答案,学科资料/工科数学分析I/历年试卷/13-19/2017软件工科数学分析上B卷及答案.pdf,pdf,past_exam_answer,2017,engineering_math_analysis_1/engineering-mathematical-analysis-1-013.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-014,engineering_math_analysis_1,2018软件工科数学分析上A卷及答案,学科资料/工科数学分析I/历年试卷/13-19/2018软件工科数学分析上A卷及答案.pdf,pdf,past_exam_answer,2018,engineering_math_analysis_1/engineering-mathematical-analysis-1-014.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-015,engineering_math_analysis_1,2018软件工科数学分析上B卷及答案,学科资料/工科数学分析I/历年试卷/13-19/2018软件工科数学分析上B卷及答案.pdf,pdf,past_exam_answer,2018,engineering_math_analysis_1/engineering-mathematical-analysis-1-015.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-016,engineering_math_analysis_1,2019级软件工科数学分析上 期末考试题(A卷),学科资料/工科数学分析I/历年试卷/13-19/2019级软件工科数学分析上 期末考试题(A卷).pdf,pdf,past_exam,2019,engineering_math_analysis_1/engineering-mathematical-analysis-1-016.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-017,engineering_math_analysis_1,2019级软件工科数学分析上 期末考试题(B卷) 附解答,学科资料/工科数学分析I/历年试卷/13-19/2019级软件工科数学分析上 期末考试题(B卷) 附解答.pdf,pdf,past_exam_answer,2019,engineering_math_analysis_1/engineering-mathematical-analysis-1-017.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:生期末考试  姓名 学号 学院 专业班级 座位号 "
engineering-mathematical-analysis-1-018,engineering_math_analysis_1,2024级工科数学分析上 期 末考试题（A）卷,学科资料/工科数学分析I/历年试卷/24A及答案，24B及答案/2024级工科数学分析上 期 末考试题（A）卷 .pdf,pdf,past_exam,2024,engineering_math_analysis_1/engineering-mathematical-analysis-1-018.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 4 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:          学号   学院          "
engineering-mathematical-analysis-1-019,engineering_math_analysis_1,2024级工科数学分析上 期 末考试题（B）卷,学科资料/工科数学分析I/历年试卷/24A及答案，24B及答案/2024级工科数学分析上 期 末考试题（B）卷 .pdf,pdf,past_exam,2024,engineering_math_analysis_1/engineering-mathematical-analysis-1-019.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 4 tool-proposed question boundaries need human confirmation; PRIVACY-HIT:class/student-id label:          学号   学院          "
engineering-mathematical-analysis-1-020,engineering_math_analysis_1,2021工科数学分析试卷A答案,学科资料/工科数学分析I/历年试卷/21A及答案，21B，22A及答案，22B/2021工科数学分析试卷A答案.pdf,pdf,past_exam_answer,2021,engineering_math_analysis_1/engineering-mathematical-analysis-1-020.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. PRIVACY-HIT:class/student-id label:          学号   学院          "
engineering-mathematical-analysis-1-021,engineering_math_analysis_1,2022A解答,学科资料/工科数学分析I/历年试卷/21A及答案，21B，22A及答案，22B/2022A解答.pdf,pdf,past_exam_answer,2022,engineering_math_analysis_1/engineering-mathematical-analysis-1-021.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation"
engineering-mathematical-analysis-1-022,engineering_math_analysis_1,21B,学科资料/工科数学分析I/历年试卷/21A及答案，21B，22A及答案，22B/21B.pdf,pdf,past_exam_answer,,engineering_math_analysis_1/engineering-mathematical-analysis-1-022.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-1-023,engineering_math_analysis_1,22A,学科资料/工科数学分析I/历年试卷/21A及答案，21B，22A及答案，22B/22A.pdf,pdf,past_exam_answer,,engineering_math_analysis_1/engineering-mathematical-analysis-1-023.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation"
engineering-mathematical-analysis-1-024,engineering_math_analysis_1,22B,学科资料/工科数学分析I/历年试卷/21A及答案，21B，22A及答案，22B/22B.pdf,pdf,past_exam_answer,,engineering_math_analysis_1/engineering-mathematical-analysis-1-024.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 5 tool-proposed question boundaries need human confirmation"
engineering-mathematical-analysis-2-002,engineering_math_analysis_2,工科数分第14讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第14讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-002.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-003,engineering_math_analysis_2,工科数分第1讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第1讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-003.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-004,engineering_math_analysis_2,工科数分第2讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第2讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-004.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-005,engineering_math_analysis_2,工科数分第3讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第3讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-005.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-006,engineering_math_analysis_2,工科数分第4讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第4讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-006.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-007,engineering_math_analysis_2,工科数分第5讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第5讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-007.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-008,engineering_math_analysis_2,工科数分第6讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第6讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-008.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-009,engineering_math_analysis_2,工科数分第7讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第7讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-009.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-010,engineering_math_analysis_2,工科数分第8讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第8讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-010.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-011,engineering_math_analysis_2,工科数分第9讲,学科资料/工科数学分析II/含答案版工科数分课件/工科数分第9讲.pdf,pdf,note,,engineering_math_analysis_2/engineering-mathematical-analysis-2-011.md,page,pymupdf text-layer page extraction,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. AI-assisted conversion; awaiting human review"
engineering-mathematical-analysis-2-012,engineering_math_analysis_2,2009级计算机工科数学分析下 期末A,学科资料/工科数学分析II/往年卷/2009级计算机工科数学分析下 期末A.doc,doc,past_exam,2009,engineering_math_analysis_2/engineering-mathematical-analysis-2-012.md,none,libreoffice-26.2 doc->docx + OOXML extraction + omml2latex; OLE preview-image fallback,false,,,passed,Klosure,"AI-assisted batch conversion, pending human review. 1 MathType/OLE formula objects preserved as preview-image fallback (LaTeX replacement pending human review); 51 native OMML formulas converted to LaTeX; AI公式转写已应用(GLM-4V三票多数决+mathtext渲染闸), 未通过闸的公式保留PNG, 待人工复核SOP4.2"
